Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,343.700012,350.489990,340.000000,341.269989,341.269989,728100
2012-01-04,346.000000,349.980011,345.010010,348.750000,348.750000,743100
2012-01-05,346.880005,351.980011,342.570007,350.480011,350.480011,672300
2012-01-06,348.880005,352.630005,347.350006,348.950012,348.950012,370700
2012-01-09,349.000000,349.489990,336.290009,339.739990,339.739990,748600
2012-01-10,343.820007,344.339996,336.549988,341.119995,341.119995,503500
2012-01-11,340.000000,347.920013,338.239990,347.600006,347.600006,573900
2012-01-12,347.609985,348.510010,343.799988,347.619995,347.619995,384900
2012-01-13,350.260010,355.000000,350.000000,354.619995,354.619995,697100
2012-01-17,356.839996,357.750000,353.160004,353.380005,353.380005,351300
2012-01-18,354.200012,357.750000,351.899994,356.820007,356.820007,323900
2012-01-19,356.709991,359.480011,355.540009,358.089996,358.089996,331900
2012-01-20,356.600006,358.549988,354.100006,356.390015,356.390015,383400
2012-01-23,356.839996,363.320007,356.369995,360.459991,360.459991,480600
2012-01-24,358.399994,361.100006,357.019989,360.600006,360.600006,373300
2012-01-25,359.890015,364.850006,359.000000,363.140015,363.140015,491300
2012-01-26,364.119995,370.350006,363.019989,365.809998,365.809998,491200
2012-01-27,364.049988,368.359985,362.309998,366.760010,366.760010,279300
2012-01-30,364.899994,368.250000,364.100006,367.690002,367.690002,288100
2012-01-31,368.390015,369.720001,365.519989,367.290009,367.290009,350800
2012-02-01,368.000000,371.619995,364.410004,370.410004,370.410004,873400
2012-02-02,366.190002,373.369995,358.600006,362.820007,362.820007,1413500
2012-02-03,367.179993,373.200012,366.029999,372.190002,372.190002,810000
2012-02-06,370.000000,374.920013,369.510010,371.630005,371.630005,537300
2012-02-07,371.019989,374.970001,370.070007,374.019989,374.019989,383700
2012-02-08,374.029999,375.250000,370.899994,374.019989,374.019989,408700
2012-02-09,375.500000,377.750000,372.269989,376.489990,376.489990,484800
2012-02-10,372.929993,376.630005,372.459991,376.450012,376.450012,311300
2012-02-13,378.700012,379.910004,375.190002,377.450012,377.450012,391500
2012-02-14,377.230011,379.450012,375.010010,378.940002,378.940002,389700
2012-02-15,380.489990,383.380005,373.600006,375.730011,375.730011,757200
2012-02-16,375.250000,383.059998,375.000000,382.040009,382.040009,506000
2012-02-17,381.470001,385.339996,380.000000,384.700012,384.700012,577900
2012-02-21,382.799988,387.000000,380.140015,383.579987,383.579987,687400
2012-02-22,383.000000,386.730011,381.119995,384.950012,384.950012,403500
2012-02-23,383.649994,387.750000,383.500000,386.799988,386.799988,332200
2012-02-24,387.760010,387.989990,384.850006,387.420013,387.420013,311200
2012-02-27,385.940002,390.410004,385.209991,388.890015,388.890015,344600
2012-02-28,389.600006,392.350006,387.510010,391.959991,391.959991,356600
2012-02-29,390.899994,392.000000,387.339996,390.220001,390.220001,355100
2012-03-01,391.850006,394.750000,388.000000,394.100006,394.100006,387700
2012-03-02,393.500000,394.790009,391.980011,394.390015,394.390015,303000
2012-03-05,394.290009,396.640015,391.579987,392.980011,392.980011,376800
2012-03-06,388.399994,389.489990,386.440002,387.299988,387.299988,531600
2012-03-07,389.480011,393.480011,387.089996,392.100006,392.100006,299400
2012-03-08,393.000000,399.559998,392.230011,398.179993,398.179993,345800
2012-03-09,399.100006,400.000000,396.510010,398.119995,398.119995,362400
2012-03-12,398.980011,401.369995,395.660004,397.519989,397.519989,367000
2012-03-13,400.070007,400.070007,396.440002,400.049988,400.049988,307200
2012-03-14,400.880005,401.519989,397.649994,400.000000,400.000000,271600
2012-03-15,400.750000,408.309998,399.589996,407.079987,407.079987,554500
2012-03-16,409.769989,410.950012,405.529999,410.910004,410.910004,531700
2012-03-19,410.290009,414.230011,407.149994,413.920013,413.920013,376700
2012-03-20,411.000000,414.450012,409.269989,412.869995,412.869995,358500
2012-03-21,413.250000,417.179993,412.970001,416.109985,416.109985,398700
2012-03-22,414.450012,418.809998,413.529999,418.130005,418.130005,477000
2012-03-23,416.709991,417.570007,411.970001,415.510010,415.510010,459900
2012-03-26,417.489990,425.579987,417.000000,424.700012,424.700012,444600
2012-03-27,424.820007,426.570007,421.000000,421.369995,421.369995,527500
2012-03-28,422.239990,424.399994,416.720001,420.089996,420.089996,364300
2012-03-29,419.109985,421.029999,415.000000,420.619995,420.619995,342000
2012-03-30,424.839996,424.839996,418.000000,418.000000,418.000000,348400
2012-04-02,417.000000,421.410004,413.540009,418.399994,418.399994,381300
2012-04-03,417.579987,422.429993,417.579987,422.260010,422.260010,482800
2012-04-04,419.230011,420.910004,411.119995,417.040009,417.040009,678900
2012-04-05,415.089996,424.989990,414.970001,424.980011,424.980011,539400
2012-04-09,420.500000,427.130005,420.500000,426.309998,426.309998,461700
2012-04-10,425.079987,428.950012,414.589996,416.619995,416.619995,750100
2012-04-11,421.399994,426.660004,421.000000,422.660004,422.660004,698000
2012-04-12,423.970001,433.529999,423.049988,433.220001,433.220001,807900
2012-04-13,433.799988,442.399994,429.019989,440.399994,440.399994,948600
2012-04-16,439.470001,441.779999,428.760010,432.119995,432.119995,832400
